index,zh,en,count,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
10,北京工业大学,Beijing University of Technology,1/1,[xiaoyaoE/bjutThesis](https://github.com/xiaoyaoE/bjutThesis),1,25,7,2,2021-01-14,2019-04-27,2023-10-16, ,北京工业大学学位论文latex模板
11,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),6/7,[BHOSC/BUAAthesis](https://github.com/BHOSC/BUAAthesis),1,880,274,37,2023-06-29,2012-06-17,2023-11-24,NOASSERTION,北航毕设论文LaTeX模板
12,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),6/7,[CheckBoxStudio/BUAAThesis](https://github.com/CheckBoxStudio/BUAAThesis),1,436,99,9,2023-07-07,2017-12-19,2023-11-24,MIT,北航研究生学位论文模板（Word+LaTeX）.
13,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),6/7,[JunyiHua/latex-mould-for-BUAA-bachelor-thesis-2021](https://github.com/JunyiHua/latex-mould-for-BUAA-bachelor-thesis-2021),1,4,0,1,2021-01-12,2021-01-04,2023-02-20, ,北航2021毕业论文latex模板
14,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),6/7,[Kelmory/BUAA-Thesis-BWE](https://github.com/Kelmory/BUAA-Thesis-BWE),0,41,7,1,2019-06-12,2019-05-21,2023-10-19,MIT,**【已归档】** 北航本科生毕业设计论文模板。BUAA dissertation template of undergraduate.
15,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),6/7,[ZhuGongpu/BUAA-Graduate-Dissertation-Template](https://github.com/ZhuGongpu/BUAA-Graduate-Dissertation-Template),1,12,1,1,2018-09-28,2018-04-18,2022-04-22,MIT,北航研究生毕业论文模版
16,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),6/7,[aofenghanyue/PhDThesisWordTemplate](https://github.com/aofenghanyue/PhDThesisWordTemplate),1,5,0,2,2021-11-27,2021-11-27,2023-11-01,MIT,北航博士毕业设计/学位论文word模板，依据《北京航空航天大学研究生撰写学位论文的规定(2020.07)》制作
17,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),6/7,[yzd-v/BUAA_thesis_overleaf](https://github.com/yzd-v/BUAA_thesis_overleaf),1,20,1,1,2021-12-04,2021-12-04,2023-10-09,NOASSERTION,北航毕设论文overleaf Latex模板
18,北京化工大学,Beijing University of Chemical Technology,1/1,[qianqianjun/UnetFCNDAE](https://github.com/qianqianjun/UnetFCNDAE),1,1,2,0,2020-06-19,2020-04-05,2021-08-10, ,北京化工大学本科毕业设计（论文）
19,北京交通大学,Beijing Jiaotong University,3/4,[chenzewei01/bjtuThesis](https://github.com/chenzewei01/bjtuThesis),0,14,10,2,2014-11-07,2014-05-07,2023-11-15, ,**【长久未更新】** 北京交通大学毕设LaTeX模板
20,北京交通大学,Beijing Jiaotong University,3/4,[labusi/bjtu-thesis](https://github.com/labusi/bjtu-thesis),1,9,4,1,2018-04-30,2018-04-27,2023-03-14,Apache-2.0,北京交通大学学位论文非官方latex模版
21,北京交通大学,Beijing Jiaotong University,3/4,[paulzhn/bjtu-bachelor-thesis](https://github.com/paulzhn/bjtu-bachelor-thesis),1,42,6,2,2022-06-28,2022-04-02,2023-05-17, ,北京交通大学本科毕设latex模板（非官方）
22,北京交通大学,Beijing Jiaotong University,3/4,[xfdywy/bjtu-thesis-templete](https://github.com/xfdywy/bjtu-thesis-templete),1,71,28,2,2021-01-03,2020-04-13,2023-11-15, ,北京交通大学研究生毕业论文非官方模版
23,北京科技大学,Beijing University of Science and Technology,2/3,[Jeff-Hugh/USTBThesis](https://github.com/Jeff-Hugh/USTBThesis),1,42,15,2,2022-12-01,2015-12-21,2023-11-15, ,Thesis Tex model for USTB
24,北京科技大学,Beijing University of Science and Technology,2/3,[liuzhaoboatenficomcn/Latex-template-for-University-of-Science-and-Technology-Beijing](https://github.com/liuzhaoboatenficomcn/Latex-template-for-University-of-Science-and-Technology-Beijing),1,6,6,0,2018-10-10,2018-10-10,2023-10-31, ,Latex template for University of Science and Technology Beijing
25,北京科技大学,Beijing University of Science and Technology,2/3,[qin-nz/USTB-latex](https://github.com/qin-nz/USTB-latex),0,8,3,2,2015-06-02,2014-08-30,2023-03-13,MIT,**【长久未更新】** latex template for undergraduate student in University of Science &amp; Technology Beijing (USTB)
26,北京理工大学,Beijing Institute of Technology,6/7,[BIT-thesis/LaTeX-template](https://github.com/BIT-thesis/LaTeX-template),1,325,89,17,2021-11-01,2017-03-08,2023-11-19, ,LaTeX template for BIT thesis
27,北京理工大学,Beijing Institute of Technology,6/7,[BITNP/BIThesis](https://github.com/BITNP/BIThesis),1,470,94,10,2023-10-26,2020-01-12,2023-11-23,LPPL-1.3c,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）
28,北京理工大学,Beijing Institute of Technology,6/7,[FDUZS/BIThesis](https://github.com/FDUZS/BIThesis),1,6,0,2,2022-11-25,2020-09-11,2023-04-21,LPPL-1.3c,北京理工大学硕士博士研究生学位论文 LaTeX 模板 — 非官方
29,北京理工大学,Beijing Institute of Technology,6/7,[PolarLion/BIT-thesis-template](https://github.com/PolarLion/BIT-thesis-template),1,2,0,1,2022-10-03,2022-10-02,2023-09-04, ,北京理工大学研究生毕业论文无bug模板-template for graduate thesis of Beijing Institute of Technology (No bug  ver.)
30,北京理工大学,Beijing Institute of Technology,6/7,[jiandahao/BIT-thesis-LaTex](https://github.com/jiandahao/BIT-thesis-LaTex),1,51,21,2,2020-05-06,2019-05-14,2023-09-24,MIT,北京理工大学学硕士/博士学位毕业论文LaTeX模板（LaTeX Template for BIT thesis）
31,北京理工大学,Beijing Institute of Technology,6/7,[qiuzhu/BITthesis](https://github.com/qiuzhu/BITthesis),0,57,19,5,2017-10-11,2016-08-17,2023-04-11,GPL-3.0,**【长久未更新】** Thesis Template  of Beijing Institute of Technology  Using LaTeX
32,北京理工大学,Beijing Institute of Technology,6/7,[zhang-datou/BIT_Thesis](https://github.com/zhang-datou/BIT_Thesis),1,12,10,1,2020-05-03,2016-11-16,2022-11-19, ,北京理工大学硕士毕业论文word和latex模板
33,北京林业大学,Beijing Forestry University,2/2,[DeeDive/BJFUThesis](https://github.com/DeeDive/BJFUThesis),1,22,6,2,2022-06-21,2021-05-11,2023-08-31, ,北京林业大学 LaTeX 学位论文模板 LaTeX Thesis Template for Beijing Forestry University
34,北京林业大学,Beijing Forestry University,2/2,[ufo5260987423/BjfuLatexTemplate](https://github.com/ufo5260987423/BjfuLatexTemplate),1,14,3,3,2018-02-18,2018-02-14,2023-08-01, ,A bachelor thesis template of Beijing Forestry University
35,北京师范大学,Beijing Normal University,5/5,[Hggg/BNU-Bachelor-Template](https://github.com/Hggg/BNU-Bachelor-Template),1,3,0,2,2020-04-24,2020-04-10,2023-08-10, ,北师大学士论文模板
36,北京师范大学,Beijing Normal University,5/5,[gebrilliant/BNU-Latex-Thesis](https://github.com/gebrilliant/BNU-Latex-Thesis),1,8,1,1,2020-02-07,2019-02-24,2023-07-05, , 
37,北京师范大学,Beijing Normal University,5/5,[jinyiliu/bnu-thesis-template](https://github.com/jinyiliu/bnu-thesis-template),1,31,8,0,2023-01-10,2019-05-22,2023-11-23, ,"Beijing Normal University bachelor, master and doctor thesis templates."
38,北京师范大学,Beijing Normal University,5/5,[keyuxing/bnu-bachelor-thesis-2021](https://github.com/keyuxing/bnu-bachelor-thesis-2021),1,1,1,1,2021-05-17,2021-05-17,2021-06-07, ,北师大本科生毕业论文模版
39,北京师范大学,Beijing Normal University,5/5,[xysmlx/BNUBachelorThesis](https://github.com/xysmlx/BNUBachelorThesis),1,34,20,6,2018-03-19,2015-03-17,2023-11-23, ,Latex Template of BNU Bachelor Thesis based on BNUThesis_1.52.1
40,北京外国语大学,Beijing Foreign Studies University,1/1,[Ryan-the-hito/BFSU-paper](https://github.com/Ryan-the-hito/BFSU-paper),1,0,0,1,2023-11-02,2023-08-19,2023-08-21,MIT,This repository stores all the required files as template in Master degree of BFSU. 本库储存北京外国语大学硕士毕业相关模板（毕业论文 LaTeX 模板和其他流程文件的 Word 模板），本库为非官方发布，模板作者对使用该模板所引起的后果不负任何责任。  内容主要是中文文件，肯定不会 100%适用于所有专业、所有语种，有需要者还请自己调整。
41,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[baggiorio18/BUPTGraduateThesis](https://github.com/baggiorio18/BUPTGraduateThesis),0,14,0,6,2015-01-03,2013-07-08,2022-04-27, ,**【长久未更新】** 
42,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[cnMuggle/BuptThesisBachelor_1.1](https://github.com/cnMuggle/BuptThesisBachelor_1.1),0,2,0,1,2015-07-18,2015-07-18,2023-09-03, ,**【长久未更新】** exported from google project
43,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[latexstudio/PhD-Thesis--LaTeX-Template-for-BUPT](https://github.com/latexstudio/PhD-Thesis--LaTeX-Template-for-BUPT),0,3,10,3,2016-07-18,2017-02-13,2023-05-21, ,**【长久未更新】** PhD Thesis  LaTeX Template for BUPT
44,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[qcts33/BUPTthesis-ctex](https://github.com/qcts33/BUPTthesis-ctex),1,74,27,5,2020-08-31,2018-12-14,2023-07-24, ,Yet anoter BUPT Thesis LaTeX class
45,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[rioxwang/BUPTGraduateThesis](https://github.com/rioxwang/BUPTGraduateThesis),1,366,107,15,2023-05-16,2015-01-03,2023-11-24, , 
46,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[sheng-qiang/BUPTBachelorThesis](https://github.com/sheng-qiang/BUPTBachelorThesis),1,430,122,3,2022-06-02,2018-04-24,2023-11-24,MIT,A LaTeX Template for BUPT Bachelor Thesis (updated in 2018) 北京邮电大学学士学位论文LaTeX模板
47,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[way-zer/BUPTBachelorThesis](https://github.com/way-zer/BUPTBachelorThesis),1,0,0,1,2023-04-21,2023-04-21,2023-04-21, , 
48,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[wugh/bupt-thesis-bachelor](https://github.com/wugh/bupt-thesis-bachelor),0,6,9,2,2014-06-09,2014-04-16,2021-01-22, ,**【长久未更新】** 
49,北京邮电大学,Beijing University of Posts and Telecommunications,5/9,[yangze01/BUPT-Master-Graduation-Thesis](https://github.com/yangze01/BUPT-Master-Graduation-Thesis),1,2,0,1,2020-01-10,2019-02-19,2022-11-23, , 
50,北京语言大学,Beijing Language and Culture University,0/1,[cunliangkong/BLCU-Thesis](https://github.com/cunliangkong/BLCU-Thesis),0,3,2,1,2023-05-15,2022-10-05,2023-05-15, ,**【已归档】** 北京语言大学硕、博士毕业论文Latex模板。
51,长安大学,Chang'an University,1/1,[xiaoleeza/chdthesis](https://github.com/xiaoleeza/chdthesis),1,19,8,3,2021-05-24,2019-04-14,2023-08-14,LPPL-1.3c,长安大学研究生学位论文LaTeX模板
52,长沙理工大学,Changsha University of Technology,1/1,[csust-latex-sig/CSUSTBachelorThesis](https://github.com/csust-latex-sig/CSUSTBachelorThesis),1,15,2,1,2023-07-24,2022-06-20,2023-08-20, ,长沙理工大学本科生毕业论文 LaTeX 模板。
53,成都理工大学,Chengdu University of Technology,2/2,[cs-whh/CDUT_thesis](https://github.com/cs-whh/CDUT_thesis),1,3,1,1,2022-01-13,2022-01-13,2023-03-06, ,成都理工大学本科毕业论文LaTeX模板
54,成都理工大学,Chengdu University of Technology,2/2,[fumeng6/CDUT-Undergraduate-Thesis-Template](https://github.com/fumeng6/CDUT-Undergraduate-Thesis-Template),1,3,1,1,2022-09-11,2021-08-19,2023-02-23, ,"This is a LaTeX template for a bachelor's degree thesis written for the 2022 undergraduates of the School of Geophysics, Chengdu University of Technology"
55,重庆大学,Chongqing University,1/1,[nanmu42/CQUThesis](https://github.com/nanmu42/CQUThesis),1,220,61,14,2022-05-12,2016-05-15,2023-11-18,NOASSERTION,:pencil: 重庆大学毕业论文LaTeX模板---LaTeX Thesis Template for Chongqing University
56,重庆交通大学,Chongqing Jiaotong University,1/1,[cyanray/ThesisCQJTU](https://github.com/cyanray/ThesisCQJTU),1,4,1,1,2022-10-10,2022-06-04,2022-12-29, ,重庆交通大学本科毕业（设计）论文模板(Word + LaTeX)
57,重庆邮电大学,Chongqing University of Posts and Telecommunications,4/4,[ElegantLee/CQUPT-Thesis-LaTex-Template](https://github.com/ElegantLee/CQUPT-Thesis-LaTex-Template),1,1,0,1,2023-03-12,2023-03-05,2023-06-08,MIT,在重庆邮电大学官方的毕业论文LaTex模板基础上，针对计算机相关专业做了相关适配
58,重庆邮电大学,Chongqing University of Posts and Telecommunications,4/4,[coding-tan/CQUPTtex](https://github.com/coding-tan/CQUPTtex),1,25,1,1,2022-07-21,2022-07-20,2023-11-25, ,依据重庆邮电大学本科生毕业论文格式要求整理，2022年7月更新
59,重庆邮电大学,Chongqing University of Posts and Telecommunications,4/4,[lusccc/cqupt-thesis](https://github.com/lusccc/cqupt-thesis),1,18,0,1,2021-02-08,2021-01-10,2023-11-25, ,重庆邮电大学研究生学位论文LaTex模板
60,重庆邮电大学,Chongqing University of Posts and Telecommunications,4/4,[mequanwei/CQUPTThesis](https://github.com/mequanwei/CQUPTThesis),1,5,0,2,2019-11-05,2017-12-12,2021-11-23, ,自制重庆邮电大学硕士学位论文latex模板
61,大连海事大学,Dalian Maritime University,0/1,[aurora1625/dmuthesis-latex](https://github.com/aurora1625/dmuthesis-latex),0,13,4,2,2013-05-27,2013-03-04,2023-07-21, ,**【长久未更新】** LaTeX template for Dalian Maritime University Graduation Thesis
62,大连理工大学,Dalian University of Technology,8/13,[GoBigorGoHome/dutthesis](https://github.com/GoBigorGoHome/dutthesis),0,3,1,2,2017-06-09,2017-04-29,2022-04-01, ,**【长久未更新】** 大连理工大学本科毕业设计（论文）LaTeX模板
63,大连理工大学,Dalian University of Technology,8/13,[Khaos/DLUTThesis](https://github.com/Khaos/DLUTThesis),1,17,11,5,2019-04-24,2012-10-10,2023-06-18,Apache-2.0,A LaTeX Thesis Template for Dalian University of Technology
64,大连理工大学,Dalian University of Technology,8/13,[QuYue/The-XeLaTex-Template-of-Master-Degree-Thesis-of-DUT](https://github.com/QuYue/The-XeLaTex-Template-of-Master-Degree-Thesis-of-DUT),1,0,0,1,2023-02-21,2023-02-21,2023-02-21, ,大连理工大学硕士学位论文模版 XeLaTex V1.0
65,大连理工大学,Dalian University of Technology,8/13,[Saltsmart/DUT-master-thesis](https://github.com/Saltsmart/DUT-master-thesis),1,4,0,2,2023-05-06,2023-02-17,2023-03-01,LPPL-1.3c,连附录都有的大连理工大学硕士学位论文LaTeX模板
66,大连理工大学,Dalian University of Technology,8/13,[Youxuan1/dut_essay_model](https://github.com/Youxuan1/dut_essay_model),1,0,0,1,2022-12-11,2022-12-11,2023-03-18, ,大连理工大学本科毕设论文模板
67,大连理工大学,Dalian University of Technology,8/13,[dutLQG/DUT-LyX](https://github.com/dutLQG/DUT-LyX),1,2,0,1,2023-11-07,2023-10-29,2023-11-03, ,大连理工大学博士硕士学位论文LyX/LaTeX模板
68,大连理工大学,Dalian University of Technology,8/13,[echoorchid/DLUT_XeLaTeX_Template_for_Master](https://github.com/echoorchid/DLUT_XeLaTeX_Template_for_Master),0,5,0,2,2017-03-13,2017-03-10,2023-02-07, ,**【长久未更新】** 大连理工大学硕士毕业论文XeLaTeX模板
69,大连理工大学,Dalian University of Technology,8/13,[hanqing0521/thesis-dut](https://github.com/hanqing0521/thesis-dut),1,11,1,2,2022-05-16,2019-09-23,2023-07-18, ,大连理工大学， 博士毕业论文模板，  tex template of Dalian University of Technology.
70,大连理工大学,Dalian University of Technology,8/13,[li-xin-yi/DLUTLaTeXTemplate](https://github.com/li-xin-yi/DLUTLaTeXTemplate),0,6,7,1,2016-03-29,2015-07-06,2023-09-18, ,**【长久未更新】** The LATEX Template of Undergraduate Graduation Project (Thesis)
71,大连理工大学,Dalian University of Technology,8/13,[stevewongv/DLUT_XeLaTeX_Template_For_Bachelor](https://github.com/stevewongv/DLUT_XeLaTeX_Template_For_Bachelor),1,11,7,3,2018-05-31,2018-05-30,2023-04-09,MIT,大连理工大学本科毕业论文latex模版2018（非官方修改版）
72,大连理工大学,Dalian University of Technology,8/13,[wendy2003888/DLUT_XeLatex_TemplateForBachelor](https://github.com/wendy2003888/DLUT_XeLatex_TemplateForBachelor),0,1,0,2,2017-06-29,2017-06-29,2018-01-01, ,**【长久未更新】** 大连理工大学本科学位论文XeLatex模版
73,大连理工大学,Dalian University of Technology,8/13,[whufanwei/DLUT_XeLaTeX_Template_for_Doctor](https://github.com/whufanwei/DLUT_XeLaTeX_Template_for_Doctor),0,17,18,4,2012-05-07,2012-04-03,2023-07-21, ,**【长久未更新】** 大连理工大学博士学位论文LaTeX模板
74,大连理工大学,Dalian University of Technology,8/13,[whufanwei/DLUT_XeLaTeX_Template_for_Maste](https://github.com/whufanwei/DLUT_XeLaTeX_Template_for_Maste),1,21,11,1,2022-07-22,2012-04-03,2023-08-22, ,大连理工大学硕士学位论文LaTeX模板
75,电子科技大学,University of Electronic Science and Technology of China,10/12,[Alan5279/UESTC_Doc_Thesis](https://github.com/Alan5279/UESTC_Doc_Thesis),1,1,1,1,2020-05-29,2020-01-16,2020-05-29, ,电子科技大学博士学位论文LaTeX版本
76,电子科技大学,University of Electronic Science and Technology of China,10/12,[JosephChenHub/UESTC_thesis_XeLaTeX](https://github.com/JosephChenHub/UESTC_thesis_XeLaTeX),1,17,6,1,2018-03-06,2017-05-02,2021-03-17, ,电子科技大学毕业论文LaTeX模板，xelatex版本
77,电子科技大学,University of Electronic Science and Technology of China,10/12,[bdebye/thesisuestc](https://github.com/bdebye/thesisuestc),1,1150,308,19,2023-06-05,2017-02-13,2023-11-25, ,ThesisUESTC-电子科技大学毕业论文模板
78,电子科技大学,University of Electronic Science and Technology of China,10/12,[lzcn/uestcthesis](https://github.com/lzcn/uestcthesis),1,1,0,1,2023-01-12,2022-08-05,2022-11-10,LPPL-1.3c,电子科技大学学位论文 LaTeX 模板
79,电子科技大学,University of Electronic Science and Technology of China,10/12,[raja21068/UESTC-LATEX-THESIS-FORMAT](https://github.com/raja21068/UESTC-LATEX-THESIS-FORMAT),1,0,0,2,2021-03-04,2020-02-13,2023-06-18, ,中国电子科技大学 LATEX论文格式 (university of electronic science and technology of china LATEX THESIS FORMAT)
80,电子科技大学,University of Electronic Science and Technology of China,10/12,[raja21068/UESTC-THESIS](https://github.com/raja21068/UESTC-THESIS),1,2,0,2,2019-01-25,2019-01-25,2022-04-18, ,中国电子科技大学（UESTC）论文模板 University of Electronic Science and Technology of China (UESTC) thesis template
81,电子科技大学,University of Electronic Science and Technology of China,10/12,[raja21068/UESTC-Thesis-Templete-LYX-Latex](https://github.com/raja21068/UESTC-Thesis-Templete-LYX-Latex),1,0,1,2,2019-01-25,2017-11-08,2017-11-08, ,LaTeX template for thesis writing in University of Electronic Science and Technology of China (电子科技大学官方主页)
82,电子科技大学,University of Electronic Science and Technology of China,10/12,[richardkwo/UESTC-bachelor-thesis-xelatex](https://github.com/richardkwo/UESTC-bachelor-thesis-xelatex),0,10,2,1,2014-01-20,2014-01-19,2023-03-09, ,**【长久未更新】** 电子科技大学本科毕业论文xelatex模板
83,电子科技大学,University of Electronic Science and Technology of China,10/12,[savicsw/ThesisUESTC](https://github.com/savicsw/ThesisUESTC),1,9,2,2,2021-03-30,2020-03-24,2023-05-05, ,电子科技大学毕业论文模板（2020）
84,电子科技大学,University of Electronic Science and Technology of China,10/12,[shifujun/UESTCthesis](https://github.com/shifujun/UESTCthesis),0,532,163,23,2023-04-24,2013-02-19,2023-11-20, ,**【已归档】** 电子科技大学毕设设计论文LaTeX模板
85,电子科技大学,University of Electronic Science and Technology of China,10/12,[tinoryj/UESTC-Thesis-Latex-Template](https://github.com/tinoryj/UESTC-Thesis-Latex-Template),1,248,51,2,2023-03-30,2022-03-16,2023-11-20,MIT,"UESTC Thesis Latex Template 2023. It fully supports the latest format specification in 2023, supports independent symbol table, abbreviation table, and complete and fully customizable Academic/Professional-Master/PhD covers."
86,电子科技大学,University of Electronic Science and Technology of China,10/12,[tzz1996/ThesisUESTC](https://github.com/tzz1996/ThesisUESTC),1,0,0,2,2018-08-06,2018-08-06,2018-08-06, ,电子科技大学letax论文
87,东北大学,Northeastern University,6/8,[Acytoo/neu_bachelor_thesis_template](https://github.com/Acytoo/neu_bachelor_thesis_template),1,56,14,3,2019-06-11,2019-05-17,2023-11-18, ,东北大学本科毕业设计 论文latex模板 2019
88,东北大学,Northeastern University,6/8,[NEUAI/neuthesis-en](https://github.com/NEUAI/neuthesis-en),1,4,2,2,2020-05-27,2020-05-27,2023-05-07,Apache-2.0,The Latex template of English Master and Ph.D. thesis for Northeastern University (China) 东北大学硕士、博士英文论文LaTeX模版
89,东北大学,Northeastern University,6/8,[NEUAI/neuthesis-enhanced](https://github.com/NEUAI/neuthesis-enhanced),1,23,10,2,2021-04-24,2021-04-24,2023-10-01,Apache-2.0,东北大学博士、硕士学位论文模板
90,东北大学,Northeastern University,6/8,[PlayerAI/NEU_PHD_Template](https://github.com/PlayerAI/NEU_PHD_Template),0,5,6,1,2013-06-05,2013-02-21,2023-10-27, ,**【长久未更新】** PHD Latex Dissertation template for Northeastern University China
91,东北大学,Northeastern University,6/8,[mervin0502/neuthesis](https://github.com/mervin0502/neuthesis),1,34,20,5,2020-09-08,2019-03-05,2023-10-01,Apache-2.0,The Latex template of Ph.D. thesis for Northeastern University.（东北大学博士学位论文Latex模板）
92,东北大学,Northeastern University,6/8,[tzaiyang/NEUBachelorThesis](https://github.com/tzaiyang/NEUBachelorThesis),1,65,11,3,2018-06-18,2018-05-13,2023-08-15, ,东北大学本科生毕业论文LaTeX模板
93,东北大学,Northeastern University,6/8,[w-mj/neu_cse_bachelor_thesis](https://github.com/w-mj/neu_cse_bachelor_thesis),1,2,0,2,2020-05-27,2020-05-14,2023-04-24, ,东北大学计算机学院本科毕业论文Latex模板
94,东北大学,Northeastern University,6/8,[yeqibin/neuthesis](https://github.com/yeqibin/neuthesis),0,5,1,2,2016-08-07,2016-08-07,2022-10-03, ,**【长久未更新】** Forked Version of LaTeX Thesis Template for Northeastern University from Xueruini/ThuThesis
95,东北电力大学,Northeast Electric Power University,1/1,[jycnb-666/NEEPUTHESIS](https://github.com/jycnb-666/NEEPUTHESIS),1,7,3,1,2023-02-05,2021-07-01,2023-06-12, ,东北电力大学本科毕业论文模板
96,东北林业大学,Northeast Forestry University,0/1,[dustincys/NEFUThesis](https://github.com/dustincys/NEFUThesis),0,8,3,2,2017-10-30,2015-03-05,2023-11-13, ,**【长久未更新】** 东北林业大学硕博士毕业论文 xe LaTeX 模板
97,东北师范大学,Northeast Normal University,2/4,[BENZJ/NNU_Latex_temple](https://github.com/BENZJ/NNU_Latex_temple),1,1,0,1,2021-05-03,2021-04-28,2022-05-12, ,东北师范大学硕士学位论文latex模版
98,东北师范大学,Northeast Normal University,2/4,[chenpx976/nenuthesis](https://github.com/chenpx976/nenuthesis),0,0,0,0,2016-02-02,2016-02-02,2016-02-02, ,**【长久未更新】** Automatically exported from code.google.com/p/nenuthesis
99,东北师范大学,Northeast Normal University,2/4,[tiankonguse/NENUCSThesis](https://github.com/tiankonguse/NENUCSThesis),0,14,4,2,2014-06-20,2014-05-01,2022-04-15, ,**【长久未更新】** 
100,东北师范大学,Northeast Normal University,2/4,[wuyanglee/LaTeX_template_for_Thesis_NENU](https://github.com/wuyanglee/LaTeX_template_for_Thesis_NENU),1,1,0,1,2022-04-13,2022-04-13,2023-01-08, ,东北师范大学（硕士博士）毕业论文LaTeX模版（Mac电脑可用）
101,东华大学,Donghua University,2/2,[DCMMC/DHU-Paper-Template](https://github.com/DCMMC/DHU-Paper-Template),1,0,0,1,2020-12-14,2019-06-07,2020-12-14, ,A XeLaTeX template of thesis paper or project report for Donghua University (DHU)  students.
102,东华大学,Donghua University,2/2,[godshen/dhu_thesis](https://github.com/godshen/dhu_thesis),1,0,0,2,2023-09-02,2016-05-29,2023-09-02, ,my last thing in dhu
103,东南大学,Southeast University,14/16,[DansYU/SeuThesiY](https://github.com/DansYU/SeuThesiY),1,52,12,4,2021-05-25,2019-06-23,2023-08-31,GPL-3.0,用于排版东南大学硕博学位论文的LaTeX模板
104,东南大学,Southeast University,14/16,[Dcwjh/SEUThesis-Latex](https://github.com/Dcwjh/SEUThesis-Latex),1,5,0,1,2022-03-09,2022-03-04,2023-10-11, ,东南大学研究生论文模板
105,东南大学,Southeast University,14/16,[JosanSun/SEUThesis](https://github.com/JosanSun/SEUThesis),1,82,20,1,2018-05-17,2018-05-17,2023-11-20,MIT,东南大学论文模板
106,东南大学,Southeast University,14/16,[LingYeAI/SEUthesis2019](https://github.com/LingYeAI/SEUthesis2019),1,1,1,0,2019-05-13,2019-05-12,2022-05-17,MIT,2019东南大学本科生毕业论文
107,东南大学,Southeast University,14/16,[RayDia/SEU-LaTeX-Thesis-Template-](https://github.com/RayDia/SEU-LaTeX-Thesis-Template-),1,1,1,2,2019-03-09,2019-03-07,2019-03-09, ,SEU LaTeX Thesis Template
