index,zh,en,count,github-repository,status,forks_count,watchers_count,subscribers_count,pushed_at,created_at,updated_at,desc
47,（匈牙利）罗兰大学,"Eötvös Loránd University (Eötvös Loránd Tudományegyetem, ELTE)",1/1,[mcserep/elteiktdk](https://github.com/mcserep/elteiktdk),1,1,7,2,2023-05-28T09:09:39Z,2018-06-06T22:48:09Z,2023-11-23T14:56:43Z,TDK-thesis template for ELTE FI.
48,（伊朗）德黑兰大学,"University of Tehran (دانشگاه تهران , UT)",1/1,[sinamomken/tehran-thesis](https://github.com/sinamomken/tehran-thesis),1,41,128,6,2022-12-30T08:50:00Z,2017-05-09T07:15:34Z,2023-10-19T14:34:39Z,LaTeX template for BSc/MSc/PhD theses of University of Tehran - قالب لاتک پایان‌نامه دانشگاه تهران
49,（以色列）特拉维夫大学,Tel Aviv University (אוניברסיטת תל־אביב),1/1,[alexlib/tau_thesis_lyx_template](https://github.com/alexlib/tau_thesis_lyx_template),1,3,5,3,2019-11-01T15:27:11Z,2012-05-28T21:34:31Z,2023-01-28T14:15:53Z,"LyX template for M.Sc. or Ph.D. thesis at Tel Aviv University תבנית לכתיבת תיזה באוניברסיטת תל אביב באמצעות ""לטקס"" או ""ליקס"""
50,（意大利）博洛尼亚大学,University of Bologna (Università di Bologna),0/1,[andreadecorte/unibo-thesis-lyx](https://github.com/andreadecorte/unibo-thesis-lyx),0,0,6,1,2012-04-19T10:41:55Z,2012-04-19T10:30:10Z,2021-05-26T14:50:37Z,**【长久未更新】** A template for writing a University of Bologna thesis with Lyx
51,（印度）霍米巴巴国家研究所,"Homi Bhabha National Institute, HBNI",1/1,[rajeshrinet/lyx-hbniThesis](https://github.com/rajeshrinet/lyx-hbniThesis),1,0,1,1,2018-04-30T14:23:11Z,2018-04-30T14:04:15Z,2020-04-01T20:45:41Z,A LyX template for HBNI PhD thesis.
52,（印度尼西亚）加查马达大学,"University of Gadjah Mada (Universitas Gadjah Mada, UGM)",1/1,[canggihpw/thesisdtetiugm](https://github.com/canggihpw/thesisdtetiugm),1,19,10,0,2023-03-08T08:43:05Z,2018-02-15T02:50:01Z,2023-06-08T02:42:13Z,Latex Template for Thesis Writing at DTETI UGM
53,（印度尼西亚）印度尼西亚大学,University of Indonesia (Universitas Indonesia),1/2,[rkkautsar/ui-thesis-template](https://github.com/rkkautsar/ui-thesis-template),1,2,10,2,2019-03-06T08:59:48Z,2019-03-06T08:56:57Z,2023-10-30T02:28:33Z,LaTeX configuration for report/thesis/dissertation according to Universitas Indonesia standard originally made by Andreas Febrian. Forked from https://github.com/yohanesgultom/ui_style
54,（印度尼西亚）印度尼西亚大学,University of Indonesia (Universitas Indonesia),1/2,[yohanesgultom/ui_style](https://github.com/yohanesgultom/ui_style),0,2,4,1,2017-05-03T08:10:43Z,2016-06-10T02:08:54Z,2022-05-01T17:32:14Z,**【长久未更新】** LaTeX configuration for report/thesis/dissertation according to University Indonesia standard originally made by Andreas Febrian
55,（印度）印度理工学院马德拉斯分校,"Indian Institute of Technology Madras, IIT Madras",0/1,[amitanilkulkarni/iitm-thesis-template](https://github.com/amitanilkulkarni/iitm-thesis-template),0,5,1,2,2016-04-24T12:10:35Z,2016-04-18T04:04:03Z,2023-09-24T09:20:24Z,"**【长久未更新】** I have ported the thesis template for IIT Madras from LaTeX to LyX for those who prefer WYSIWYG editors. (Idk, I personally use LaTeX - it's not that tough)."
56,（英国）帝国理工学院,Imperial College London (IC),0/1,[blaahhrrgg/icldiss](https://github.com/blaahhrrgg/icldiss),0,0,2,2,2015-07-28T10:48:57Z,2015-07-21T14:18:33Z,2023-03-11T17:59:06Z,**【长久未更新】** A LaTeX dissertation template for Imperial College London.
