index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
278,南京师范大学,Nanjing Normal University,1/0/1,[jordanzhouda/nnuthesis](https://github.com/jordanzhouda/nnuthesis), ,🔒️,7,3,2018-08-10,2017-09-10, ,A LaTeX solution for typesetting bachelor thesis of Nanjing Normal University
279,南京信息工程大学,Nanjing University of Information Engineering,6/0/1,[Alrash/NUIST_Master_Thesis](https://github.com/Alrash/NUIST_Master_Thesis), , ,8,2,2020-06-10,2019-02-26,MIT,南京信息工程大学硕士学位论文Latex模板
280,南京信息工程大学,Nanjing University of Information Engineering,6/0/1,[LirenW/NUIST_thesis_template_V2.0](https://github.com/LirenW/NUIST_thesis_template_V2.0), , ,11,6,2021-06-14,2017-03-13, , 
281,南京信息工程大学,Nanjing University of Information Engineering,6/0/1,[hy5468/NUIST-LaTeX](https://github.com/hy5468/NUIST-LaTeX), , ,16,1,2021-04-10,2020-05-30,MIT,南京信息工程大学硕士毕业论文LaTeX模板，由单滢滢、耿祥编写，由耿祥整理发布，请大家给该项目打星。
282,南京信息工程大学,Nanjing University of Information Engineering,6/0/1,[jtzhpf/NUIST-Bachelor-Thesis-LaTeX-Template-v2022.4](https://github.com/jtzhpf/NUIST-Bachelor-Thesis-LaTeX-Template-v2022.4), , ,9,1,2022-04-21,2022-04-01, ,南京信息工程大学（NUIST）本科生毕业论文2022年4月修订版，兼容Windows，MacOS和Overleaf
283,南京信息工程大学,Nanjing University of Information Engineering,6/0/1,[liyuwang2016/NUIST_Latex](https://github.com/liyuwang2016/NUIST_Latex), ,🔒️,1,0,2019-01-07,2019-01-03, ,南京信息工程大学硕士研究生毕业论文latex模板
284,南京信息工程大学,Nanjing University of Information Engineering,6/0/1,[sakronos/NUIST_Bachelor_Thesis_LaTeX_Template](https://github.com/sakronos/NUIST_Bachelor_Thesis_LaTeX_Template), , ,47,8,2022-05-14,2021-06-10,GPL-3.0,南京信息工程大学本科生毕业论文 LaTeX 模板
285,南京邮电大学,Nanjing University of Posts and Telecommunications,2/0/0,[imguozr/NJUPThesis-Bachelor](https://github.com/imguozr/NJUPThesis-Bachelor), , ,49,12,2022-05-02,2019-02-14,LPPL-1.3c,LaTeX template for NJUPT Undergraduate Thesis. 南京邮电大学本科毕业论文LaTeX模版。
286,南京邮电大学,Nanjing University of Posts and Telecommunications,2/0/0,[li199-code/njupt_master_thesis_latex_template](https://github.com/li199-code/njupt_master_thesis_latex_template), , ,8,1,2023-10-22,2022-07-21, ,南京邮电大学硕士研究生毕业论文latex模板
287,南开大学,Nankai University,13/0/5,[Gptao/nku_thesis](https://github.com/Gptao/nku_thesis), ,🔒️,0,0,2019-06-05,2019-06-04, ,南开大学本科毕设论文latex基础模板，直接xelatex编译即可，简单易用
288,南开大学,Nankai University,13/0/5,[JH-Wei/NKUThesis](https://github.com/JH-Wei/NKUThesis), ,🔒️,1,0,2016-04-26,2016-04-26, ,Nankai thesis LaTeX template
289,南开大学,Nankai University,13/0/5,[JerryMouseZ/NKUOverleafTemplate2021](https://github.com/JerryMouseZ/NKUOverleafTemplate2021), , ,1,1,2021-04-30,2021-03-10, ,南开大学2021毕业论文overleaf模板，来自赵子懿和潘宇学长
290,南开大学,Nankai University,13/0/5,[MaZhengg/NKUthesis](https://github.com/MaZhengg/NKUthesis), ,🔒️,9,0,2019-03-04,2016-01-21, ,南开大学毕业论文LaTeX模板
291,南开大学,Nankai University,13/0/5,[NewFuture/NKThesis](https://github.com/NewFuture/NKThesis), , ,109,42,2023-04-12,2018-02-28,MIT,南开大学硕士毕业论文/博士论文模板 (Latex Template for Nankai University)
292,南开大学,Nankai University,13/0/5,[Tr0py/NKU-thesis-template-2020](https://github.com/Tr0py/NKU-thesis-template-2020), , ,68,10,2023-06-16,2020-05-02, ,南开大学毕业论文模板 Nankai University Thesis Template https://tr0py.github.io/NKU-thesis-template-2020/
293,南开大学,Nankai University,13/0/5,[benhaotang/NKThesis](https://github.com/benhaotang/NKThesis), , ,0,0,2023-04-30,2022-03-17,MPL-2.0,南开大学本科硕博毕业论文模板LaTeX
