学校（机构）	学校（机构）英文	分类	语言	GitHub仓库	已归档	Star数	Fork数
通用模板	Common Templates	presentation	latex	https://github.com/kai-tub/latex-beamer-pure-minimalistic	False	157	14
上海交通大学	Shanghai Jiaotong University	report	latex	https://github.com/NemoYuan2008/SJTU-Thesis-Proposal	False	156	10
通用模板	Common Templates	presentation	latex	https://github.com/kmaed/kmbeamer	False	153	24
天津大学	Tianjin University	thesis	latex	https://github.com/twtstudio/TJUThesisLatexTemplate	False	151	30
通用模板	Common Templates	book	latex	https://github.com/chianjin/zhvt-classic	False	150	31
通用模板	Common Templates	book	latex	https://github.com/BeautyLaTeX/Beautybook	False	149	28
台湾大学	National Taiwan University (NTU)	thesis	latex	https://github.com/mediaic/NTU_MS_Thesis	False	147	31
（美国）加利福尼亚大学洛杉矶分校	University of California, Los Angeles (UCLA)	thesis	latex	https://github.com/uclathes/uclathes	False	144	91
中国科学技术大学	University of Science and Technology of China	thesis	latex	https://github.com/ywgATustcbbs/ustcthesis	False	143	51
北京大学	Peking University	thesis	typst	https://github.com/pku-typst/pkuthss-typst	False	139	34
南京大学	Nanjing University	thesis	latex	https://github.com/jiangyy/njuthesis	False	139	21
浙江大学	Zhejiang University	thesis	latex	https://github.com/ZJU-Awesome/write_with_LaTeX	False	138	94
苏州大学	Soochow University	thesis	latex	https://github.com/tianhaoo/Soochow-University-Thesis-Overleaf-LaTeX-Template	False	134	11
浙江大学	Zhejiang University	thesis	latex	https://github.com/shuwei1204/ZJUthesis	False	131	50
东南大学	Southeast University	thesis	latex	https://github.com/seucs/seuthesis	False	130	35
（新加坡）新加坡国立大学	National University of Singapore (NUS)	thesis	latex	https://github.com/streamjoin/nusthesis	False	129	35
中国人民大学	Renmin University of China	thesis	latex	https://github.com/ZebinWang/ructhesis	False	125	64
台湾成功大学	National Cheng Kung University (NCKU)	thesis	latex	https://github.com/wengan-li/ncku-thesis-template-latex	False	125	51
山东大学	Shandong University	thesis	latex	https://github.com/cnDelbert/SDU_thesis_template_for_postgraduate	False	123	41
上海科技大学	ShanghaiTech University	thesis	latex	https://github.com/lirundong/shtthesis	False	123	24
（葡萄牙）阿威罗大学	University of Aveiro	thesis	latex	https://github.com/detiuaveiro/ua-thesis-template	False	121	46
（美国）华盛顿大学	University of Washington (UW)	thesis	markdown	https://github.com/benmarwick/huskydown	False	121	28
吉林大学	Jilin University	thesis	latex	https://github.com/jiafeng5513/JLU_Dissertation	False	121	23
深圳大学	Shenzhen University	thesis	latex	https://github.com/jonzhaocn/szu-thesis-master	False	121	18
（德国）慕尼黑工业大学	Technical University of Munich	thesis	latex	https://github.com/TUM-LIS/tum-dissertation-latex	False	120	56
（德国）慕尼黑工业大学	Technical University of Munich	thesis	typst	https://github.com/ls1intum/thesis-template-typst	False	120	36
同济大学	Tongji University	thesis	latex	https://github.com/SXKDZ/tongjithesis	False	120	14
西安电子科技大学	Xidian University	report	latex	https://github.com/note286/xdupgtp	False	120	10
华南理工大学	South China University of Technology	thesis	latex	https://github.com/ShevonKuan/SCUT-thesis	True	119	10
南开大学	Nankai University	thesis	latex	https://github.com/Tr0py/NKU-thesis-template-2020	False	118	14
（加拿大）不列颠哥伦比亚大学	University of British Columbia	thesis	latex	https://github.com/briandealwis/ubcdiss	False	116	105
（瑞士）苏黎世联邦理工学院	ETH Zurich	thesis	latex	https://github.com/tuxu/ethz-thesis	False	116	61
（荷兰）代尔夫特理工大学	Delft University of Technology	thesis	latex	https://github.com/Inventitech/phd-thesis-template	False	116	60
（日本）名古屋大学	Nagoya University	thesis	latex	https://github.com/akira-okumura/MasterThesisTemplate	False	116	27
东南大学	Southeast University	thesis	latex	https://github.com/JosanSun/SEUThesis	False	116	23
南京理工大学	Nanjing University of Science and Technology	thesis	latex	https://github.com/jiec827/njustThesis	False	115	35
四川大学	Sichuan University	thesis	latex	https://github.com/fanmcgrady/SCU-Thesis-LaTeX-Template	False	115	28
通用模板	Common Templates	thesis	latex	https://github.com/mirea-ninja/Latex-Template-for-Report-Diploma-Thesis	False	115	17
西安电子科技大学	Xidian University	thesis	latex	https://github.com/xdlinux/xdba-thesis	True	113	41
通用模板	Common Templates	paper	latex	https://github.com/latextemplates/ieee-enhanced	False	113	36
通用模板	Common Templates	thesis	latex	https://github.com/zarrabi/thesis-template	False	112	43
东北大学	Northeastern University	thesis	latex	https://github.com/sci-m-wang/NEU-Thesis	False	112	13
湖南大学	Hunan University	thesis	latex	https://github.com/hnuthesis/hnuthesis	False	110	29
国防科技大学	National Defense University of Science and Technology	report	latex	https://github.com/TomHeaven/nudtproposal	False	107	37
北京大学	Peking University	thesis	ms-word	https://github.com/xelmirage/pku_thesis_docx	False	107	20
浙江大学	Zhejiang University	report	latex	https://github.com/megrxu/zjureport	False	106	37
南京大学	Nanjing University	thesis	latex	https://github.com/FengChendian/NJUThesis2021	True	106	28
华东师范大学	East China Normal University	thesis	latex	https://github.com/YijunYuan/ECNU-Undergraduate-LaTeX	True	104	19
厦门大学	Xiamen University	thesis	latex	https://github.com/F5Soft/xmu-template	False	104	17
（挪威）挪威科技大学	Norwegian University of Science and Technology	thesis	latex	https://github.com/COPCSE-NTNU/thesis-NTNU	False	103	426
桂林电子科技大学	Guilin University of Electronic Science and Technology	thesis	latex	https://github.com/YanMing-lxb/GUET_Thesis_LaTeX	False	103	23
