序号,中文名,外文名,GitHub仓库,已归档,Star数,Fork数,更新时间,许可证
101,**（葡萄牙）阿威罗大学**,*University of Aveiro*<br>(Universidade de Aveiro),[:simple-github: detiuaveiro/<br>ua-thesis-template](https://github.com/detiuaveiro/ua-thesis-template),:unlock:,110,42,:material-update: `2024-12-16`,:material-license: `MIT`
102,**吉林大学**,*Jilin University*,[:simple-github: jiafeng5513/<br>JLU_Dissertation](https://github.com/jiafeng5513/JLU_Dissertation),:unlock:,109,24,:material-update: `2021-06-05`, 
103,**西安电子科技大学**,*Xidian University*,[:simple-github: xdlinux/<br>xdba-thesis](https://github.com/xdlinux/xdba-thesis),:card_box:,107,41,:material-update: `2017-04-07`,:material-license: `LGPL-3.0`
104,**南京理工大学**,*Nanjing University of Science and Technology*,[:simple-github: jiec827/<br>njustThesis](https://github.com/jiec827/njustThesis),:unlock:,107,35,:material-update: `2016-04-09`,:material-license: `GPL-2.0`
105,**南京大学**,*Nanjing University*,[:simple-github: FengChendian/<br>NJUThesis2021](https://github.com/FengChendian/NJUThesis2021),:card_box:,106,28,:material-update: `2022-01-08`, 
106,**东南大学**,*Southeast University*,[:simple-github: JosanSun/<br>SEUThesis](https://github.com/JosanSun/SEUThesis),:unlock:,106,23,:material-update: `2018-05-17`,:material-license: `MIT`
107,**深圳大学**,*Shenzhen University*,[:simple-github: jonzhaocn/<br>szu-thesis-master](https://github.com/jonzhaocn/szu-thesis-master),:unlock:,106,18,:material-update: `2023-11-16`, 
108,**苏州大学**,*Soochow University*,[:simple-github: tianhaoo/<br>Soochow-University-Thesis-Overleaf-LaTeX-Template](https://github.com/tianhaoo/Soochow-University-Thesis-Overleaf-LaTeX-Template),:unlock:,106,11,:material-update: `2023-05-18`,:material-license: `MIT`
109,**（荷兰）代尔夫特理工大学**,"*Delft University of Technology*<br>(Technische Universiteit Delft, TU Delft)",[:simple-github: Inventitech/<br>phd-thesis-template](https://github.com/Inventitech/phd-thesis-template),:unlock:,103,57,:material-update: `2024-06-17`, 
110,**（德国）慕尼黑工业大学**,*Technical University of Munich*<br>(Technische Universität München),[:simple-github: TUM-LIS/<br>tum-dissertation-latex](https://github.com/TUM-LIS/tum-dissertation-latex),:unlock:,102,51,:material-update: `2023-07-22`,:material-license: `CC-BY-4.0`
111,**通用模板**,*Common Templates*,[:simple-github: mirea-ninja/<br>Latex-Template-for-Report-Diploma-Thesis](https://github.com/mirea-ninja/Latex-Template-for-Report-Diploma-Thesis),:unlock:,102,13,:material-update: `2023-04-13`, 
112,**台湾成功大学<br>（國立成功大學）**,*National Cheng Kung University (NCKU)*,[:simple-github: wengan-li/<br>ncku-thesis-template-latex](https://github.com/wengan-li/ncku-thesis-template-latex),:unlock:,101,46,:material-update: `2025-03-03`,:material-license: `NOASSERTION`
113,**南开大学**,*Nankai University*,[:simple-github: Tr0py/<br>NKU-thesis-template-2020](https://github.com/Tr0py/NKU-thesis-template-2020),:unlock:,101,13,:material-update: `2024-06-01`, 
114,**（挪威）挪威科技大学**,"*Norwegian University of Science and Technology*<br>(Norges teknisk-naturvitenskapelige universitet, NTNU)",[:simple-github: COPCSE-NTNU/<br>thesis-NTNU](https://github.com/COPCSE-NTNU/thesis-NTNU),:unlock:,100,394,:material-update: `2024-06-28`,:material-license: `MIT`
115,**通用模板**,*Common Templates*,[:simple-github: zarrabi/<br>thesis-template](https://github.com/zarrabi/thesis-template),:unlock:,100,39,:material-update: `2024-08-30`, 
116,**华东师范大学**,*East China Normal University*,[:simple-github: YijunYuan/<br>ECNU-Undergraduate-LaTeX](https://github.com/YijunYuan/ECNU-Undergraduate-LaTeX),:card_box:,100,16,:material-update: `2020-04-09`,:material-license: `NOASSERTION`
117,**（瑞士）苏黎世联邦理工学院**,*ETH Zurich*<br>(Eidgenössische Technische Hochschule Zürich),[:simple-github: tuxu/<br>ethz-thesis](https://github.com/tuxu/ethz-thesis),:unlock:,98,53,:material-update: `2017-03-04`, 
118,**华东师范大学**,*East China Normal University*,[:simple-github: ECNU-ICA/<br>ECNU_graduation_thesis_template](https://github.com/ECNU-ICA/ECNU_graduation_thesis_template),:unlock:,98,20,:material-update: `2022-03-22`,:material-license: `MIT`
119,**四川大学**,*Sichuan University*,[:simple-github: fanmcgrady/<br>SCU-Thesis-LaTeX-Template](https://github.com/fanmcgrady/SCU-Thesis-LaTeX-Template),:unlock:,97,24,:material-update: `2024-04-08`, 
120,**上海科技大学**,*ShanghaiTech University*,[:simple-github: lirundong/<br>shtthesis](https://github.com/lirundong/shtthesis),:unlock:,96,24,:material-update: `2024-01-24`,:material-license: `GPL-3.0`
121,**（俄罗斯）塞瓦斯托波尔国立技术大学**,*Sevastopol National Technical University*<br>(Севастопольський національний технічний університет),[:simple-github: Amet13/<br>master-thesis](https://github.com/Amet13/master-thesis),:unlock:,95,27,:material-update: `2024-09-24`, 
122,**四川大学**,*Sichuan University*,[:simple-github: cuiao/<br>SCU_ThesisDissertation_LaTeXTemplate](https://github.com/cuiao/SCU_ThesisDissertation_LaTeXTemplate),:unlock:,94,50,:material-update: `2020-11-13`, 
123,**山东大学**,*Shandong University*,[:simple-github: cnDelbert/<br>SDU_thesis_template_for_postgraduate](https://github.com/cnDelbert/SDU_thesis_template_for_postgraduate),:unlock:,94,31,:material-update: `2025-01-04`, 
124,**东南大学**,*Southeast University*,[:simple-github: zhimengfan1990/<br>seuthesix](https://github.com/zhimengfan1990/seuthesix),:unlock:,91,53,:material-update: `2023-03-19`,:material-license: `GPL-3.0`
125,**南方科技大学**,*Southern University of Science and Technology*,[:simple-github: Peng-YM/<br>SUSTech-Thesis](https://github.com/Peng-YM/SUSTech-Thesis),:card_box:,91,30,:material-update: `2019-10-15`,:material-license: `MIT`
126,**厦门大学**,*Xiamen University*,[:simple-github: CamuseCao/<br>XMU-thesis](https://github.com/CamuseCao/XMU-thesis),:unlock:,91,24,:material-update: `2021-05-21`,:material-license: `LPPL-1.3c`
127,**（希腊）雅典国家技术大学**,"*National Technical University of Athens, NTUA*<br>(Εθνικό Μετσόβιο Πολυτεχνείο)",[:simple-github: estamos/<br>NTUA-ECE-Thesis-Template](https://github.com/estamos/NTUA-ECE-Thesis-Template),:unlock:,87,11,:material-update: `2024-10-12`,:material-license: `MIT`
128,**华南理工大学**,*South China University of Technology*,[:simple-github: ShevonKuan/<br>SCUT-thesis](https://github.com/ShevonKuan/SCUT-thesis),:card_box:,86,6,:material-update: `2024-05-24`, 
129,**东南大学**,*Southeast University*,[:simple-github: SuikaXhq/<br>seu-bachelor-thesis-2022](https://github.com/SuikaXhq/seu-bachelor-thesis-2022),:unlock:,86,3,:material-update: `2024-03-09`,:material-license: `GPL-3.0`
130,**同济大学**,*Tongji University*,[:simple-github: wyqy/<br>TongjiThesis_Proto](https://github.com/wyqy/TongjiThesis_Proto),:unlock:,85,14,:material-update: `2025-03-05`, 
131,**哈尔滨工业大学**,*Harbin Institute of Technology*,[:simple-github: dustincys/<br>hithesis](https://github.com/dustincys/hithesis),:unlock:,84,22,:material-update: `2023-09-06`, 
132,**通用模板**,*Common Templates*,[:simple-github: severinlandolt/<br>latex-thesis-template](https://github.com/severinlandolt/latex-thesis-template),:unlock:,84,15,:material-update: `2022-09-20`,:material-license: `MIT`
133,**（印度）科泽科德国立理工学院**,"*National Institute of Technology Calicut, NITC*<br>(राष्ट्रीय प्रौद्योगिकी संस्थान कालीकट)",[:simple-github: k4rtik/<br>latex-project-report-template](https://github.com/k4rtik/latex-project-report-template),:unlock:,82,47,:material-update: `2015-01-27`, 
134,**大连民族大学**,*Dalian Minzu University*,[:simple-github: neumason/<br>DLNU](https://github.com/neumason/DLNU),:unlock:,82,4,:material-update: `2024-03-10`, 
135,**北京邮电大学**,*Beijing University of Posts and Telecommunications*,[:simple-github: qcts33/<br>BUPTthesis-ctex](https://github.com/qcts33/BUPTthesis-ctex),:unlock:,80,27,:material-update: `2020-08-31`, 
136,**北京交通大学**,*Beijing Jiaotong University*,[:simple-github: xfdywy/<br>bjtu-thesis-templete](https://github.com/xfdywy/bjtu-thesis-templete),:unlock:,80,24,:material-update: `2021-01-03`, 
137,**（俄罗斯）莫斯科物理技术学院**,"*Moscow Institute of Physics and Technology*<br>(Московский Физико-Технический институт, MIPT)",[:simple-github: yl3dy/<br>mipt-thesis](https://github.com/yl3dy/mipt-thesis),:unlock:,80,22,:material-update: `2022-05-25`,:material-license: `MIT`
138,**山东大学**,*Shandong University*,[:simple-github: Liam0205/<br>sduthesis](https://github.com/Liam0205/sduthesis),:unlock:,79,29,:material-update: `2024-04-03`,:material-license: `NOASSERTION`
139,**湖南大学**,*Hunan University*,[:simple-github: hnuthesis/<br>hnuthesis](https://github.com/hnuthesis/hnuthesis),:unlock:,79,21,:material-update: `2024-06-04`,:material-license: `MIT`
140,**中国海洋大学**,*Ocean University of China*,[:simple-github: summitgao/<br>OUC-LaTex-master](https://github.com/summitgao/OUC-LaTex-master),:unlock:,79,13,:material-update: `2024-07-01`, 
141,**东北大学**,*Northeastern University*,[:simple-github: sci-m-wang/<br>NEU-Thesis](https://github.com/sci-m-wang/NEU-Thesis),:unlock:,79,8,:material-update: `2025-02-09`,:material-license: `Apache-2.0`
142,**北京邮电大学**,*Beijing University of Posts and Telecommunications*,[:simple-github: Jimmy-L4/<br>BUPTGraduateThesis](https://github.com/Jimmy-L4/BUPTGraduateThesis),:unlock:,78,2,:material-update: `2024-07-17`, 
143,**中国地质大学（武汉）**,*China University of Geosciences*,[:simple-github: Timozer/<br>CUGThesis](https://github.com/Timozer/CUGThesis),:unlock:,77,23,:material-update: `2024-03-15`,:material-license: `GPL-3.0`
144,**中山大学**,*Sun Yat-sen University*,[:simple-github: 1FCENdoge/<br>SYSUThesis](https://github.com/1FCENdoge/SYSUThesis),:unlock:,77,13,:material-update: `2025-03-13`,:material-license: `LPPL-1.3c`
145,**（马耳他）马耳他大学**,*University of Malta*<br>(L-Università ta' Malta),[:simple-github: jp-um/<br>university_of_malta_LaTeX_dissertation_template](https://github.com/jp-um/university_of_malta_LaTeX_dissertation_template),:unlock:,76,28,:material-update: `2024-11-27`,:material-license: `GPL-3.0`
146,**台湾阳明交通大学<br>（國立陽明交通大學）**,*National Yang Ming Chiao Tung University (NYCU)*,[:simple-github: borting/<br>nctu-thesis](https://github.com/borting/nctu-thesis),:unlock:,76,24,:material-update: `2021-07-26`, 
147,**上海大学**,*Shanghai University*,[:simple-github: BlueFisher/<br>shuthesis](https://github.com/BlueFisher/shuthesis),:unlock:,76,22,:material-update: `2025-03-05`, 
148,**中国海洋大学**,*Ocean University of China*,[:simple-github: summitgao/<br>OUC-LaTex-bachelor](https://github.com/summitgao/OUC-LaTex-bachelor),:unlock:,76,17,:material-update: `2024-07-01`, 
149,**（美国）加利福尼亚大学欧文分校**,"*University of California, Irvine (UCI)*",[:simple-github: lotten/<br>uci-thesis-latex](https://github.com/lotten/uci-thesis-latex),:unlock:,75,55,:material-update: `2022-04-13`, 
150,**香港科技大学<br>（香港科技大學）**,*Hong Kong University Of Science And Technology (HUST)*,[:simple-github: Cheedoong/<br>hkust-latex-thesis](https://github.com/Cheedoong/hkust-latex-thesis),:unlock:,75,42,:material-update: `2018-01-09`, 
151,**中南大学**,*Central South University*,[:simple-github: CSGrandeur/<br>CSU-Thesis-LaTeX-Template](https://github.com/CSGrandeur/CSU-Thesis-LaTeX-Template),:unlock:,75,36,:material-update: `2022-06-27`, 
152,**东北大学**,*Northeastern University*,[:simple-github: tzaiyang/<br>NEUBachelorThesis](https://github.com/tzaiyang/NEUBachelorThesis),:unlock:,75,11,:material-update: `2018-06-18`, 
153,**台湾阳明交通大学<br>（國立陽明交通大學）**,*National Yang Ming Chiao Tung University (NYCU)*,[:simple-github: hungys/<br>nctu-thesis-latex](https://github.com/hungys/nctu-thesis-latex),:unlock:,74,29,:material-update: `2021-01-01`, 
154,**福州大学**,*Fuzhou University*,[:simple-github: siaimes/<br>ThesisFZU](https://github.com/siaimes/ThesisFZU),:unlock:,74,13,:material-update: `2024-01-23`, 
155,**（加拿大）多伦多大学**,*University of Toronto*,[:simple-github: jessexknight/<br>ut-thesis](https://github.com/jessexknight/ut-thesis),:unlock:,73,28,:material-update: `2024-07-26`, 
156,**厦门大学**,*Xiamen University*,[:simple-github: F5Soft/<br>xmu-template](https://github.com/F5Soft/xmu-template),:unlock:,73,15,:material-update: `2022-05-23`,:material-license: `MIT`
157,**香港大学<br>（香港大學）**,*University of Hong Kong (UHK)*,[:simple-github: monaen/<br>HKU-Thesis-Template](https://github.com/monaen/HKU-Thesis-Template),:unlock:,73,12,:material-update: `2020-10-27`, 
158,**（美国）华盛顿大学**,*University of Washington (UW)*,[:simple-github: UWIT-IAM/<br>UWThesis](https://github.com/UWIT-IAM/UWThesis),:card_box:,71,60,:material-update: `2021-11-09`,:material-license: `NOASSERTION`
159,**（美国）加利福尼亚大学圣迭戈分校**,"*University of California, San Diego (UCSD)*",[:simple-github: ucsd-thesis/<br>ucsd-thesis](https://github.com/ucsd-thesis/ucsd-thesis),:unlock:,71,57,:material-update: `2022-06-27`,:material-license: `MIT`
160,**四川大学**,*Sichuan University*,[:simple-github: fatestigma/<br>scuthesis](https://github.com/fatestigma/scuthesis),:unlock:,71,15,:material-update: `2020-04-26`,:material-license: `LPPL-1.3c`
161,**华中科技大学**,*Huazhong University of Science*,[:simple-github: zfengg/<br>HUSTtex](https://github.com/zfengg/HUSTtex),:unlock:,71,12,:material-update: `2024-09-24`,:material-license: `MIT`
162,**武汉理工大学**,*Wuhan University of Technology*,[:simple-github: tsaoyu/<br>WHUT-LaTeX-bachelor](https://github.com/tsaoyu/WHUT-LaTeX-bachelor),:unlock:,70,26,:material-update: `2019-06-07`, 
163,**华东师范大学**,*East China Normal University*,[:simple-github: Koyamin/<br>ECNUThesis-Undergraduate](https://github.com/Koyamin/ECNUThesis-Undergraduate),:unlock:,70,19,:material-update: `2024-04-16`,:material-license: `LPPL-1.3c`
164,**西北工业大学**,*Northwestern Polytechnical University*,[:simple-github: NPUSCG/<br>nputhesis](https://github.com/NPUSCG/nputhesis),:unlock:,69,35,:material-update: `2021-05-10`, 
165,**通用模板**,*Common Templates*,[:simple-github: wk910930/<br>paper-template](https://github.com/wk910930/paper-template),:unlock:,69,31,:material-update: `2017-05-08`, 
166,**复旦大学**,*Fudan University*,[:simple-github: Pandoxie/<br>FDU-Thesis-Latex](https://github.com/Pandoxie/FDU-Thesis-Latex),:unlock:,69,20,:material-update: `2018-02-02`,:material-license: `MIT`
